University,FY2016 Ranking,FY2015 Ranking,FY2014 Ranking,Industry,Total Engineering,Aero/Astro-Engineering,Bio-Engineering,Chemical Engineering,Civil Engineering,Eng - Electrical,Eng- Industrial and Manufacturing Engineering ,Eng - Materials,Eng - Mechanical,Total Physical Sciences,Chemistry,Material Science,Physics,Astronomy,Total Environmental Sci,Atmospheric,Geological and Earth Sciences,Ocean Sciences,Mathematical,Computer Science,Total Life Sciences,Agricultural,Biological,Health Sciences,Natural resources,Psychology,Total Social Sciences,Anthropology,Economics,Political Science,Sociology,Number In Top Ten Fields/Subfields
Johns Hopkins,1,1,1,11,1,2,2,13,26,1,,13,1,2,10,9,2,6,24,35,31,40,1,1,3,,7,5,,75,76,139,225,176,14,15
Michigan,2,2,2,13,5,11,18,14,15,4,15,21,8,25,12,,22,27,53,,18,,6,64,7,88,14,9,9,7,1,3,1,3,3,13
U. Pennsylvania,3,17,18,5,50,137,20,43,,30,,,27,33,43,7,25,,168,,111,,30,28,2,111,1,33,,9,7,32,25,136,4,7
UC San Francisco,4,4,5,10,,,,,,,,,,23,1,,193,,,,,,,,1,,125,1,,,,,,,,4
U. Washington,5,3,3,27,16,19,9,24,27,15,50,55,20,26,19,24,30,18,4,2,32,5,33,16,5,121,11,8,4,34,33,67,188,10,18,8
Wisconsin,6,6,4,48,15,,3,18,24,39,10,23,46,13,13,,19,28,12,7,13,,25,20,15,17,15,14,65,44,8,37,44,23,12,4
UC San Diego,7,5,6,9,22,,4,,,6,,,24,18,7,,14,,1,8,3,2,38,12,16,,93,4,,12,41,,41,9,40,10
Harvard,8,10,11,19,37,,5,134,58,53,,20,95,12,6,,15,11,23,62,34,124,9,48,18,,2,50,,55,2,12,6,1,34,7
Stanford,9,8,9,6,20,12,14,19,34,23,,48,11,8,8,1,13,,46,,37,46,21,15,12,,18,12,35,20,34,16,30,49,126,4
Duke,10,7,7,1,35,,10,,54,25,,28,49,64,61,,53,,68,,84,32,12,81,4,,13,3,20,57,21,34,19,7,16,4
UNC,11,11,8,36,101,,51,,19,,13,,,38,17,,51,54,45,,38,30,49,32,8,,22,6,133,1,3,96,91,28,1,4
UCLA,12,9,10,17,34,,48,28,87,24,,36,16,20,32,,8,,27,22,8,,10,37,11,,103,2,163,15,11,,115,50,17,4
Cornell,13,12,14,20,32,41,38,23,64,31,16,15,28,7,16,11,9,15,106,69,65,110,56,19,13,7,4,35,11,27,6,79,5,91,7,7
MIT,14,13,12,3,3,7,1,2,11,10,,3,4,5,9,43,5,3,13,15,17,27,18,7,95,,51,122,242,116,23,,4,41,,13
Minnesota,15,14,15,37,21,25,11,5,20,33,35,22,17,31,25,,28,41,52,,16,,16,31,17,25,38,13,3,2,14,57,15,12,6,4
Texas A&M,16,16,17,26,6,24,23,3,1,17,26,18,7,24,11,45,32,20,5,23,12,3,11,21,40,1,76,65,62,101,22,26,10,20,57,7
U. Pittsburgh,17,18,16,67,75,,33,41,102,84,22,,83,48,39,,48,33,59,,101,,54,54,9,,12,10,,6,114,86,142,45,147,2
Yale,18,21,22,16,105,,47,57,185,73,,,55,22,18,,17,22,81,,43,,63,55,10,146,17,7,19,37,62,28,34,227,28,2
UT MD Anderson ,19,19,21,7,,,,,,,,,,76,,,36,,,,,,5,,6,,6,11,,17,83,,,,15,3
Columbia,20,15,13,18,45,44,17,34,116,83,43,,103,34,48,20,34,19,7,12,4,7,50,23,21,67,21,15,27,95,65,145,,68,29,3
Penn State,21,22,20,40,7,10,40,10,16,5,2,1,2,15,29,2,24,17,21,10,7,57,2,8,49,11,47,67,41,5,9,121,36,15,2,15
Ohio State,22,20,19,4,14,59,102,30,51,22,8,9,3,36,38,39,27,39,64,,28,,28,18,28,28,64,22,17,59,53,47,42,135,32,4
NYU,23,35,38,41,52,,,113,113,64,,,129,71,56,,68,,318,,236,,13,29,19,,23,28,,4,26,145,72,18,24,1
Florida,24,25,26,30,28,34,16,60,98,29,30,24,25,50,51,,44,29,48,,33,36,88,26,22,2,29,30,6,61,45,15,18,71,104,2
Georgia Tech,25,24,24,24,2,1,8,4,9,2,1,8,5,32,14,19,42,,63,37,,,24,3,166,76,131,193,,67,71,,22,22,172,10
