,FY2015 Ranking,FY2014 Ranking,FY2013 Ranking,Industry,Total Engineering,Aero/Astro-Engineering,Bio-Engineering,Chemical Engineering,Civil Engineering,Eng - Electrical,Eng - Materials,Eng - Mechanical,Total Physical Sciences,Chemistry,Physics,Astronomy,Total Environmental Sci,Atmospheric,Earth Sciences,Oceanographic,Mathematical,Computer Science,Total Life Sciences,Agricultural,Biological,Medical,Psychology,Total Social Sciences,Economics,Political Science,Sociology,Number In Top Ten Fields/Subfields
Johns Hopkins,1,1,1,14,1,1,2,16,18,1,23,1,3,21,2,5,27,37,37,43,1,1,2,N/A,7,5,91,63,106,173,11,13
U. Michigan,2,2,2,15,7,14,22,12,17,5,21,8,20,11,22,19,57,143,17,N/A,4,54,4,47,13,9,7,1,1,2,3,11
U. Washington,3,3,3,23,17,28,9,42,21,14,50,36,25,25,29,16,7,3,43,5,34,26,6,36,14,7,45,46,191,17,18,6
UC San Francisco,4,5,6,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,1,388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,134,1,N/A,N/A,N/A,N/A,N/A,3
UC San Diego,5,6,5,7,19,N/A,3,N/A,N/A,6,N/A,19,14,3,12,N/A,1,7,5,2,36,10,13,N/A,97,4,9,38,55,9,37,11
Wisconsin,6,4,4,46,15,N/A,5,22,19,46,26,47,12,15,14,24,15,6,36,44,29,16,16,28,15,18,62,7,14,34,9,4
Duke,7,7,8,1,32,N/A,7,N/A,65,15,29,49,62,74,51,N/A,50,139,92,36,10,72,3,N/A,10,3,50,19,23,8,19,5
Stanford,8,9,11,6,16,13,11,33,27,17,47,10,9,22,61,N/A,25,127,22,41,23,21,12,N/A,8,12,19,41,48,141,8,3
UCLA,9,10,10,17,37,N/A,47,26,87,22,33,18,18,37,10,N/A,31,23,14,N/A,12,28,8,N/A,106,2,13,12,120,61,24,3
Harvard,10,11,7,20,40,46,6,92,53,63,15,98,13,6,16,15,28,68,28,116,13,77,20,179,2,52,59,2,13,1,74,4
UNC,11,8,9,40,192,N/A,66,N/A,N/A,N/A,N/A,N/A,48,28,60,N/A,33,130,12,32,19,27,9,N/A,9,16,1,3,96,22,1,5
Cornell,12,14,16,29,23,86,26,20,70,27,20,30,8,23,4,9,35,131,32,126,53,24,14,10,26,14,21,8,4,84,7,7
MIT,13,12,12,3,3,6,1,3,9,7,4,6,7,12,6,4,12,12,13,30,15,6,89,197,40,109,153,26,6,50,N/A,13
Minnesota,14,15,15,45,21,25,10,8,20,30,N/A,13,33,27,26,34,55,141,24,N/A,7,29,17,11,30,15,4,13,18,15,6,5
Columbia,15,13,13,31,54,40,18,35,91,37,N/A,118,26,49,18,13,6,10,6,6,49,15,18,N/A,22,25,78,71,82,23,38,4
TX A&M,16,17,19,11,4,21,27,2,1,16,37,7,19,10,25,39,5,21,18,3,16,42,42,1,79,68,90,34,57,28,69,8
Pennsylvania,17,18,18,5,64,N/A,30,68,N/A,33,42,41,46,51,28,N/A,187,227,122,105,51,34,10,138,11,11,6,18,71,29,20,2
Pittsburgh,18,16,14,60,86,N/A,29,48,101,87,N/A,76,49,41,48,40,59,144,73,N/A,57,66,7,N/A,21,6,15,127,144,60,118,2
U.TX MD Anderson,19,21,26,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,36,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,3,10,10,79,N/A,N/A,14,5
Ohio State,20,19,20,4,13,52,103,49,45,21,7,5,32,24,30,30,67,145,25,25,28,20,26,24,60,21,56,33,36,37,35,2
Yale,21,22,21,22,79,N/A,42,58,N/A,83,N/A,60,27,19,33,25,85,156,38,N/A,59,52,11,56,18,8,30,68,39,79,27,1
Penn State ,22,20,17,33,5,11,54,13,14,4,2,3,22,31,21,11,13,9,7,37,9,8,55,13,68,62,5,11,42,26,2,10
UC Berkeley,23,23,24,9,11,N/A,132,50,22,3,130,198,1,7,24,1,74,112,27,N/A,21,65,63,22,50,23,32,6,2,27,26,6
Georgia Tech,24,24,23,26,2,3,4,4,5,2,8,2,24,9,27,N/A,45,14,223,N/A,26,3,174,N/A,136,159,55,70,34,35,186,10
Florida,25,26,27,25,29,35,16,60,105,32,24,31,50,55,46,36,56,142,35,38,101,51,19,2,23,43,70,40,33,121,40,1
