University,FY2024 Ranking,Total R&D ($K),Industrial & Mfg Eng,Materials Eng,Electrical Eng,Bioengineering,Mechanical Eng,Chemical Eng,Other Eng,Civil Eng,Aerospace Eng,Physics,Other Physical Sci,Astronomy & Astrophysics,Chemistry,Materials Science,Ocean Sciences,Atmospheric Sci,Geological & Earth Sci,Other Geosciences,Mathematics & Statistics,Computer & Info Sciences,Other Life Sciences,Agricultural Sciences,Health Sciences,Biological & Biomedical Sci,Natural Resources,Psychology,Other Social Sciences,Sociology & Demography,Anthropology,Economics,Political Science,Other Sciences,Non-S&E
Johns Hopkins University,1,4129264,92579,27459,827917,99222,307487,38830,45385,19376,253893,266947,31338,23115,31005,3388,6803,7110,37158,13101,263313,302764,16,,948314,399360,,8125,1732,6282,74,770,279,50210,15912
University of Pennsylvania,2,2167504,23,,37785,34551,21449,13092,17623,3,,34901,,1711,26797,21226,,,2251,,9599,27960,50215,1060,437693,1170917,,16207,24293,30816,1258,6009,7194,6516,166355
"University of California, San Francisco",3,2127637,,,,,,,,,,981,,,70762,,,,,,,,,,2051165,4729,,,,,,,,,
"University of Michigan, Ann Arbor",4,2110961,6567,19240,80789,36737,69211,21621,91222,25712,20463,27815,1,6912,39679,,,,21117,,22114,20917,55023,2889,819888,312732,26771,27037,121014,31201,7520,41865,36937,6717,111250
University of Wisconsin-Madison,5,1933229,8248,18763,22882,16613,30471,22164,56618,19229,,40518,26440,7541,41894,,,47676,20371,13752,12277,38851,5757,178483,630620,373725,1549,12687,58463,7074,1510,13359,8602,72048,125044
"University of California, Los Angeles",6,1896227,,9964,39651,10632,21119,11463,24326,11699,,42105,1998,,34161,,,12642,31444,10592,11445,20823,,,1287023,40038,,18776,72806,31325,,661,13746,57397,80391
"University of California, San Diego",7,1881289,,28969,137430,28758,26877,,17710,11028,,31863,20228,7918,43844,,219385,,52071,,6177,9566,298,,1060506,82729,2124,13926,16621,6252,835,4176,4629,705,46664
"University of Washington, Seattle",8,1691302,1874,6497,47715,33129,16582,10965,44795,18283,9132,33051,,10569,30216,2166,91677,54175,17671,355,12015,35541,1711,63,707603,381471,23449,13489,5270,11206,1149,182,7013,,62288
Stanford University,9,1641961,6386,12075,22551,41081,30979,21400,1765,11675,16591,48921,1712,5471,33855,13716,6740,,23625,9077,7695,28450,48931,,854444,296965,2046,14320,10868,430,642,2608,9049,693,57200
Cornell University,10,1613631,5142,28037,39261,29035,20689,17428,13993,16391,6092,63053,39779,13269,33256,4345,652,12,6736,,4370,42783,17061,131596,562497,376246,26053,12943,20281,4999,516,3759,2728,244,70385
University of North Carolina at Chapel Hill,11,1598751,2745,,,18299,,,,40663,,9783,7201,1261,37172,,16925,,7087,7178,5104,50246,,,938904,246388,105,54135,14186,66968,135,400,11022,370,62474
Ohio State University,12,1581570,19428,21831,35085,9372,104234,13741,41718,15159,813,19551,,4431,22930,2222,,,13361,,4825,33585,5953,89851,830487,131176,16103,6428,7317,7745,753,7149,573,44364,71385
Duke University,13,1580756,,1849,37405,50957,15901,,94,13422,,14545,,,16902,,8681,,4633,,9766,14349,19169,,962551,328660,9784,10371,25005,11720,4117,5108,802,439,14526
University of Maryland,14,1539520,316,13778,9547,30180,26293,14579,59572,50039,14507,57331,10137,51883,9392,15925,2757,4791,67927,27071,7359,94066,1490,74099,503626,206373,4041,15275,49287,7163,381,2899,7258,32899,67279
Georgia Institute of Technology,15,1528637,63952,21470,545809,60089,66756,37778,24556,27550,286860,19264,,,27361,,820,388,12075,,9655,235289,8,4525,11023,28193,,5013,5017,3476,,67,,,31643
Yale University,16,1519694,,,10307,14321,8236,8909,3506,,,32280,,6517,29567,,,,9757,,4511,12775,147,,1036064,271443,13954,12164,614,4229,2004,13289,3103,446,21551
"University of Pittsburgh, Pittsburgh",17,1504665,3120,,10883,27827,19345,9333,6605,6795,,13181,,4999,17019,,,,3708,12879,5030,11311,36,542,912456,393303,,12606,2294,890,335,439,804,16363,12562
New York University,18,1500732,,,19789,13,2373,3797,115899,960,,15884,,9,16890,,356,,1182,,18995,20307,2972,,755859,337775,,31053,17022,14975,29,1940,9554,175,112924
Harvard University,19,1494527,,19760,9925,64706,290,2096,4494,4984,,73860,11317,15144,35731,,145,7229,9084,13370,24070,25831,1573,165,145348,667805,3013,6923,59553,31983,5977,39543,45855,8497,156256
Columbia University,20,1449535,1933,,6888,36686,3794,16816,50095,3622,2268,22076,,11539,21248,4826,49466,11241,25648,,4053,36053,2020,,759502,291269,4701,2992,6737,7574,,,926,,65562
"University of Minnesota, Twin Cities",21,1409710,866,4740,19348,44534,28676,23528,,24503,14626,24416,,3352,23453,,,,16405,,8601,29109,7043,96524,701289,143433,60344,34732,2687,20495,314,6426,6939,3143,60184
"Texas A&M University, College Station and Health Science Center",22,1393825,14874,12560,36715,43620,65550,18849,122509,129205,52905,23501,2742,4516,30355,11410,100430,7752,9739,4942,10799,35515,3543,271948,113197,110666,26719,10353,18802,3559,2778,6769,6427,12525,68051
University of Texas M. D. Anderson Cancer Center,23,1363321,,,,,,,,,,28873,,,,,,,,,24297,,,31201,846575,385539,,19672,,27164,,,,,
