University,FY2024 Ranking,Industrial & Mfg Eng,Materials Eng,Electrical Eng,Bioengineering,Mechanical Eng,Chemical Eng,Other Eng,Civil Eng,Aerospace Eng,Physics,Other Physical Sci,Astronomy & Astrophysics,Chemistry,Materials Science,Ocean Sciences,Atmospheric Sci,Geological & Earth Sci,Other Geosciences,Mathematics & Statistics,Computer & Info Sciences,Other Life Sciences,Agricultural Sciences,Health Sciences,Biological & Biomedical Sci,Natural Resources,Psychology,Other Social Sciences,Sociology & Demography,Anthropology,Economics,Political Science,Other Sciences,Non-S&E,Number In Top Ten Fields/Subfields
Johns Hopkins University,1,1,12,1,2,1,5,16,28,4,1,3,10,20,26,44,29,7,10,1,1,236,,6,9,,69,139,31,166,123,162,4,129,16
University of Pennsylvania,2,147,,23,16,30,29,37,288,,18,,58,26,4,,,131,,25,37,8,116,34,1,,29,13,5,40,33,21,54,2,5
"University of California, San Francisco",3,,,,,,,,,,208,,,1,,,,,,,,,,1,234,,,,,,,,,,2
"University of Michigan, Ann Arbor",4,26,21,8,14,5,13,6,20,17,29,156,31,12,,,,18,,6,50,6,88,12,17,7,9,1,4,2,3,3,51,9,13
University of Wisconsin-Madison,5,21,22,36,41,17,11,10,32,,17,5,30,8,,,4,19,7,15,14,42,4,22,14,87,47,4,24,33,12,17,2,4,9
"University of California, Los Angeles",6,,41,20,63,31,38,30,58,,15,36,,16,,,18,10,15,18,51,,,2,103,,21,2,3,,129,9,3,19,6
"University of California, San Diego",7,,8,4,22,19,,36,63,,23,6,29,5,,1,,6,,42,96,146,,3,72,84,37,25,32,65,48,34,136,54,7
"University of Washington, Seattle",8,59,50,15,17,42,41,17,34,31,21,,21,22,32,3,2,23,90,16,20,80,186,17,12,11,41,69,16,46,201,22,,31,2
Stanford University,9,27,35,39,10,14,14,145,59,20,13,38,35,17,7,47,,14,18,34,35,9,,9,18,85,33,37,150,75,70,15,137,38,4
Cornell University,10,31,10,21,21,32,19,46,41,42,8,2,17,18,20,93,152,65,,60,12,24,10,25,13,9,45,16,38,86,51,48,183,23,5
University of North Carolina at Chapel Hill,11,48,,,37,,,,10,,75,15,62,14,,24,,63,22,48,10,,,7,24,190,1,29,1,147,155,11,167,30,5
Ohio State University,12,9,17,29,67,3,28,18,45,77,43,,42,32,31,,,30,,53,22,41,22,11,48,24,87,54,20,69,25,124,5,21,3
Duke University,13,,79,26,6,45,,267,51,,51,,,45,,37,,87,,22,66,19,,5,16,36,54,12,14,6,41,100,156,139,3
University of Maryland,14,104,29,88,19,20,25,9,3,24,9,13,4,85,6,66,36,4,2,35,8,84,27,30,31,59,31,6,22,98,63,19,7,26,10
Georgia Institute of Technology,15,3,19,2,4,7,6,28,18,3,44,,,25,,90,75,34,,24,2,250,81,164,123,,106,71,54,,256,,,78,7
Yale University,16,,,81,52,72,51,117,,,22,,32,23,,,,45,,56,72,173,,4,21,26,49,210,43,23,13,42,154,102,1
"University of Pittsburgh, Pittsburgh",17,46,,76,23,34,49,84,85,,58,,39,44,,,,97,11,50,79,222,135,8,10,,48,121,114,104,151,98,20,152,2
New York University,18,,,43,219,150,97,3,177,,48,,174,46,,111,,166,,9,53,61,,15,15,,6,23,13,205,79,13,197,8,4
Harvard University,19,,20,85,3,225,117,105,106,,7,10,15,15,,136,28,52,8,4,40,83,163,64,2,67,80,3,2,4,5,1,47,3,12
Columbia University,20,58,,101,15,116,21,14,123,57,36,,20,36,18,6,20,13,,63,18,77,,14,19,56,139,57,21,,,89,,27,1
"University of Minnesota, Twin Cities",21,80,62,45,8,18,10,,21,22,30,,44,31,,,,25,,28,32,38,18,18,45,2,4,111,10,105,28,23,80,33,5
"Texas A&M University, College Station and Health Science Center",22,13,34,28,9,8,17,2,1,6,31,30,41,21,8,2,26,46,27,20,21,55,1,71,55,8,55,18,52,16,27,26,35,24,9
University of Texas M. D. Anderson Cancer Center,23,,,,,,,,,,28,,,,,,,,,3,,,42,10,11,,18,,7,,,,,,3
Vanderbilt University and Vanderbilt University Medical Center,24,,,42,31,50,31,151,47,,55,,,39,,,,127,,124,36,63,,13,23,,12,39,121,17,38,16,,11,0
"Pennsylvania State University, University Park and Hershey Medical Center",25,11,2,3,28,2,20,,29,10,20,,19,38,1,55,17,24,,2,6,,23,58,52,21,3,,8,24,34,43,,51,9
University of Florida,26,39,32,22,18,43,57,109,15,32,59,131,45,4,,39,,28,,70,56,,3,31,30,18,32,60,167,43,39,40,82,37,2
University of Southern California,27,47,,18,49,,53,93,81,44,,,26,60,,32,,55,,119,5,17,,37,5,,63,7,85,28,6,156,,25,4
Northwestern University,28,44,15,82,29,47,15,34,73,,40,25,28,2,5,,,123,,82,63,33,,20,29,,115,34,153,22,18,94,8,62,3
Emory University,29,,,,13,,,,,,125,,,24,,,,,,111,152,,,19,7,54,99,145,120,51,133,85,67,72,1
Washington University in St. Louis,30,,54,105,45,,24,201,272,,71,,,68,10,,,61,,140,122,,,21,6,189,53,113,184,44,229,104,,73,2
University of Texas at Austin,31,,11,6,50,4,3,12,4,14,26,74,12,29,2,31,134,2,26,11,4,45,160,84,69,45,22,74,6,32,110,68,59,12,8
"University of California, Berkeley",32,119,43,5,168,241,54,19,13,,61,8,1,3,,,135,37,,21,60,,71,87,44,1,14,14,15,130,2,5,1,14,8
Massachusetts Institute of Technology,33,69,4,24,1,9,2,8,42,9,6,1,7,9,12,51,12,49,25,17,7,12,104,105,94,118,212,30,,237,4,32,11,29,12
Icahn School of Medicine at Mount Sinai,34,,,,,,,,,,,,,,,,,,,,,,,26,4,,,,,,,,,,1
University of Arizona,35,23,36,12,60,113,62,66,84,50,87,,2,61,16,67,23,11,50,29,61,245,25,56,22,25,50,19,26,3,36,54,24,65,2
"University of California, Davis",36,,69,51,32,41,84,121,11,,62,14,,53,,45,,12,68,59,92,137,2,40,41,,109,50,151,57,85,126,26,121,1
Arizona State University,37,6,52,11,36,59,77,5,6,156,54,7,,43,,20,69,5,,93,11,23,122,99,53,49,23,5,17,1,24,6,9,1,10
Michigan State University,38,,,37,30,62,33,43,46,,2,,170,42,,,,57,99,13,47,25,5,83,42,20,40,17,81,15,8,37,14,44,3
"Purdue University, West Lafayette",39,17,18,7,24,6,7,7,12,7,32,,,7,,,21,,,90,17,100,6,68,115,,104,,62,72,11,80,66,17,7
University of Illinois,40,,5,10,26,10,9,4,9,16,14,128,24,11,,,31,41,,55,9,,21,179,62,3,28,49,131,31,83,92,22,41,8
"Indiana University, Bloomington",41,,,47,,,,237,,,64,,59,35,,,37,154,45,112,15,71,,29,36,,25,27,51,18,54,7,25,55,1
Baylor College of Medicine,42,,,,,,,,,,,,,,,,,,,,,,,32,8,,,,,,,,,,1
University of Texas Southwestern Medical Center,43,,,,59,,,,,,,,,,,,,,,,,22,,23,26,,190,,,,,,,,0
University of Alabama at Birmingham,44,,,159,54,94,146,192,145,43,133,,,154,90,,,,,230,220,,,24,32,,67,269,191,,,,,146,0
"Rutgers State University of New Jersey, New Brunswick",45,74,65,107,95,91,85,23,114,,57,66,51,102,53,15,,69,49,37,109,28,35,38,28,73,38,103,65,97,106,102,222,59,0
"University of Virginia, Charlottesville",46,35,26,57,20,52,43,20,113,,66,,38,40,,,,,21,104,52,,,45,35,,59,87,72,112,80,20,138,7,1
University of Utah,47,,58,19,87,65,69,89,7,,86,,,41,,,34,56,,67,130,20,,33,96,,110,183,11,61,174,151,,15,1
Boston University,48,22,76,41,7,39,175,41,,60,39,,47,30,,164,,50,,43,41,199,,48,27,,5,44,68,55,66,114,45,50,2
University of Colorado Anschutz Medical Campus,49,,,,150,,,,,,144,,,,,,109,,,,,123,97,16,185,,159,364,206,,,,250,167,0
University of Cincinnati,50,,,92,72,53,70,80,74,34,106,,,81,,,,143,,132,124,16,,28,82,,58,81,57,116,,62,111,76,0
